correlation	url	time
e5a125a	/points/36.077,-111.316	405
e5a8095	/points/36.077,-112.316	530
91a1568	/points/38.077,-113.316	426
e5aaacc	/points/41.077,,-115.316	237
e594a54	/points/41.077,-118.316	811
d722103	/gridpoints/SLC/65,12/	1244
7c0d93f	/gridpoints/SLC/29,17	512
d723590	/gridpoints/VEF/151,90	307
172fcbc0	/gridpoints/LKN/91,55	414
d725cdf	/gridpoints/PIH/73,15	609
616d4d56	/gridpoints/BOI/18,66/forecast	508
d72863b	/gridpoints/LKN/105,145/forecast	166
17301747	/gridpoints/SLC/111,97/forecast	191
d72b2c4	/gridpoints/VEF/171,56/forecast	351
d72be40	/gridpoints/BOI/85,22/forecast	156
e5b6cc8	/gridpoints/FGZ/91,36/forecast/hourly	761
173050e8	/gridpoints/REV/50,39/forecast/hourly	584
91aa719	/gridpoints/MPX/91,36/forecast/hourly	336
8211783	/gridpoints/PIH/106,11/forecast/hourly	129
d731833	/gridpoints/SLC/146,93/forecast/hourly	85
616d664f	/gridpoints/VEF/59,195/stations?limit=3	32
1833b85c	/gridpoints/SLC/100,108/stations?limit=3	462
d732acb	/gridpoints/REV/66,128/stations?limit=3	117
d735aa8	/gridpoints/BOI/119,16/stations?limit=3	26
8226c53	/gridpoints/FGZ/55,131/stations?limit=3	56
91b04c0	/stations/ITD04/observations?limit=1	195
91b1335	/stations/C8738/observations/latest	109
18390ff8	/stations/KGCN/observations?limit=1	192
de6e475	/stations/CMP27/observations/latest	139
91b18a7	/stations/MJBN2/observations?limit=1	192
e5a125a	/points/36.077,-111.316	231
e5a8095	/points/36.077,-112.316	44
91a1568	/points/38.077,-113.316	615
eb6a647	/points/41.077,,-115.316	75
e594a54	/points/41.077,-118.316	50
d722103	/gridpoints/SLC/65,12/	140
7c0d93f	/gridpoints/SLC/29,17	56
d723590	/gridpoints/VEF/151,90	54
172fcbc0	/gridpoints/LKN/91,55	84
d725cdf	/gridpoints/PIH/73,15	54
616d4d56	/gridpoints/BOI/18,66/forecast	112
d72863b	/gridpoints/LKN/105,145/forecast	40
17301747	/gridpoints/SLC/111,97/forecast	39
d72b2c4	/gridpoints/VEF/171,56/forecast	51
d72be40	/gridpoints/BOI/85,22/forecast	40
e5b6cc8	/gridpoints/FGZ/91,36/forecast/hourly	48
173050e8	/gridpoints/REV/50,39/forecast/hourly	60
91aa719	/gridpoints/MPX/91,36/forecast/hourly	149
8211783	/gridpoints/PIH/106,11/forecast/hourly	35
d731833	/gridpoints/SLC/146,93/forecast/hourly	93
616d664f	/gridpoints/VEF/59,195/stations?limit=3	43
1833b85c	/gridpoints/SLC/100,108/stations?limit=3	76
d732acb	/gridpoints/REV/66,128/stations?limit=3	48
d735aa8	/gridpoints/BOI/119,16/stations?limit=3	37
8226c53	/gridpoints/FGZ/55,131/stations?limit=3	44
eb6bf42	/stations/ITD04/observations?limit=1	178
18a592ac	/stations/C8738/observations/latest	81
eb6c3d5	/stations/KGCN/observations?limit=1	224
de6e475	/stations/CMP27/observations/latest	90
eb6c95a	/stations/MJBN2/observations?limit=1	133
b0ed7e	/points/36.077,-111.316	270
24edbcb	/points/36.077,-112.316	116
24edcd9	/points/38.077,-113.316	136
4810f6d	/points/41.077,,-115.316	91
4810fdf	/points/41.077,-118.316	133
b0f256	/gridpoints/SLC/65,12/	567
1fdb68e	/gridpoints/SLC/29,17	1095
1470a3d	/gridpoints/VEF/151,90	1459
b0fcc0	/gridpoints/LKN/91,55	922
1fdc27d	/gridpoints/PIH/73,15	816
1fdc56d	/gridpoints/BOI/18,66/forecast	1838
14719f7	/gridpoints/LKN/105,145/forecast	643
24ef1a2	/gridpoints/SLC/111,97/forecast	584
1471edf	/gridpoints/VEF/171,56/forecast	616
14720be	/gridpoints/BOI/85,22/forecast	914
24f08d1	/gridpoints/FGZ/91,36/forecast/hourly	647
b10c52	/gridpoints/REV/50,39/forecast/hourly	829
b11bcc	/gridpoints/MPX/91,36/forecast/hourly	397
1472b2c	/gridpoints/PIH/106,11/forecast/hourly	718
b1200d	/gridpoints/SLC/146,93/forecast/hourly	911
481405d	/gridpoints/VEF/59,195/stations?limit=3	211
147325b	/gridpoints/SLC/100,108/stations?limit=3	223
24f1d09	/gridpoints/REV/66,128/stations?limit=3	172
4814289	/gridpoints/BOI/119,16/stations?limit=3	358
147357c	/gridpoints/FGZ/55,131/stations?limit=3	180
147363e	/stations/ITD04/observations?limit=1	151
4814453	/stations/C8738/observations/latest	76
24f226f	/stations/KGCN/observations?limit=1	120
481449b	/stations/CMP27/observations/latest	120
24f24a6	/stations/MJBN2/observations?limit=1	184
e5a125a	/points/36.077,-111.316	73
e5a8095	/points/36.077,-112.316	24
91a1568	/points/38.077,-113.316	35
faf084b	/points/41.077,,-115.316	68
e594a54	/points/41.077,-118.316	33
d722103	/gridpoints/SLC/65,12/	206
7c0d93f	/gridpoints/SLC/29,17	83
d723590	/gridpoints/VEF/151,90	69
172fcbc0	/gridpoints/LKN/91,55	75
d725cdf	/gridpoints/PIH/73,15	108
616d4d56	/gridpoints/BOI/18,66/forecast	149
d72863b	/gridpoints/LKN/105,145/forecast	90
17301747	/gridpoints/SLC/111,97/forecast	85
d72b2c4	/gridpoints/VEF/171,56/forecast	96
d72be40	/gridpoints/BOI/85,22/forecast	151
e5b6cc8	/gridpoints/FGZ/91,36/forecast/hourly	73
173050e8	/gridpoints/REV/50,39/forecast/hourly	107
19886655	/gridpoints/MPX/91,36/forecast/hourly	397
8211783	/gridpoints/PIH/106,11/forecast/hourly	122
d731833	/gridpoints/SLC/146,93/forecast/hourly	105
616d664f	/gridpoints/VEF/59,195/stations?limit=3	40
1833b85c	/gridpoints/SLC/100,108/stations?limit=3	24
d732acb	/gridpoints/REV/66,128/stations?limit=3	24
d735aa8	/gridpoints/BOI/119,16/stations?limit=3	23
8226c53	/gridpoints/FGZ/55,131/stations?limit=3	22
19888308	/stations/ITD04/observations?limit=1	138
19888550	/stations/C8738/observations/latest	88
faf513e	/stations/KGCN/observations?limit=1	170
faf6cc4	/stations/CMP27/observations/latest	91
faf68e4	/stations/MJBN2/observations?limit=1	136
e5a125a	/points/36.077,-111.316	187
e5a8095	/points/36.077,-112.316	41
91a1568	/points/38.077,-113.316	44
19fdc625	/points/41.077,,-115.316	71
e594a54	/points/41.077,-118.316	38
d722103	/gridpoints/SLC/65,12/	317
7c0d93f	/gridpoints/SLC/29,17	118
d723590	/gridpoints/VEF/151,90	176
172fcbc0	/gridpoints/LKN/91,55	156
d725cdf	/gridpoints/PIH/73,15	197
616d4d56	/gridpoints/BOI/18,66/forecast	98
d72863b	/gridpoints/LKN/105,145/forecast	179
17301747	/gridpoints/SLC/111,97/forecast	207
d72b2c4	/gridpoints/VEF/171,56/forecast	136
d72be40	/gridpoints/BOI/85,22/forecast	135
e5b6cc8	/gridpoints/FGZ/91,36/forecast/hourly	117
173050e8	/gridpoints/REV/50,39/forecast/hourly	185
19fe01a0	/gridpoints/MPX/91,36/forecast/hourly	730
8211783	/gridpoints/PIH/106,11/forecast/hourly	115
d731833	/gridpoints/SLC/146,93/forecast/hourly	144
616d664f	/gridpoints/VEF/59,195/stations?limit=3	32
1833b85c	/gridpoints/SLC/100,108/stations?limit=3	123
d732acb	/gridpoints/REV/66,128/stations?limit=3	47
d735aa8	/gridpoints/BOI/119,16/stations?limit=3	93
8226c53	/gridpoints/FGZ/55,131/stations?limit=3	172
103d3a42	/stations/ITD04/observations?limit=1	400
19fe310b	/stations/C8738/observations/latest	103
19fe38f6	/stations/KGCN/observations?limit=1	166
faf6cc4	/stations/CMP27/observations/latest	90
19fd10c9	/stations/MJBN2/observations?limit=1	149
e5a125a	/points/36.077,-111.316	129
e5a8095	/points/36.077,-112.316	19
91a1568	/points/38.077,-113.316	18
10c0300d	/points/41.077,,-115.316	80
e594a54	/points/41.077,-118.316	19
d722103	/gridpoints/SLC/65,12/	223
7c0d93f	/gridpoints/SLC/29,17	112
d723590	/gridpoints/VEF/151,90	86
172fcbc0	/gridpoints/LKN/91,55	291
d725cdf	/gridpoints/PIH/73,15	106
616d4d56	/gridpoints/BOI/18,66/forecast	74
d72863b	/gridpoints/LKN/105,145/forecast	72
17301747	/gridpoints/SLC/111,97/forecast	73
d72b2c4	/gridpoints/VEF/171,56/forecast	33
d72be40	/gridpoints/BOI/85,22/forecast	79
e5b6cc8	/gridpoints/FGZ/91,36/forecast/hourly	36
173050e8	/gridpoints/REV/50,39/forecast/hourly	141
b387d64	/gridpoints/MPX/91,36/forecast/hourly	449
8211783	/gridpoints/PIH/106,11/forecast/hourly	104
d731833	/gridpoints/SLC/146,93/forecast/hourly	29
616d664f	/gridpoints/VEF/59,195/stations?limit=3	21
1833b85c	/gridpoints/SLC/100,108/stations?limit=3	25
d732acb	/gridpoints/REV/66,128/stations?limit=3	19
d735aa8	/gridpoints/BOI/119,16/stations?limit=3	26
8226c53	/gridpoints/FGZ/55,131/stations?limit=3	20
b38a7ee	/stations/ITD04/observations?limit=1	252
b38af76	/stations/C8738/observations/latest	168
b38b35f	/stations/KGCN/observations?limit=1	398
b38add8	/stations/CMP27/observations/latest	149
10c09a13	/stations/MJBN2/observations?limit=1	105
e5a125a	/points/36.077,-111.316	59
e5a8095	/points/36.077,-112.316	23
91a1568	/points/38.077,-113.316	24
113f65d2	/points/41.077,,-115.316	88
e594a54	/points/41.077,-118.316	79
d722103	/gridpoints/SLC/65,12/	317
7c0d93f	/gridpoints/SLC/29,17	159
d723590	/gridpoints/VEF/151,90	76
172fcbc0	/gridpoints/LKN/91,55	213
d725cdf	/gridpoints/PIH/73,15	144
616d4d56	/gridpoints/BOI/18,66/forecast	203
d72863b	/gridpoints/LKN/105,145/forecast	112
17301747	/gridpoints/SLC/111,97/forecast	107
d72b2c4	/gridpoints/VEF/171,56/forecast	93
d72be40	/gridpoints/BOI/85,22/forecast	106
113fdee4	/gridpoints/FGZ/91,36/forecast/hourly	536
173050e8	/gridpoints/REV/50,39/forecast/hourly	136
19fe01a0	/gridpoints/MPX/91,36/forecast/hourly	190
8211783	/gridpoints/PIH/106,11/forecast/hourly	380
d731833	/gridpoints/SLC/146,93/forecast/hourly	277
616d664f	/gridpoints/VEF/59,195/stations?limit=3	53
1833b85c	/gridpoints/SLC/100,108/stations?limit=3	35
d732acb	/gridpoints/REV/66,128/stations?limit=3	32
d735aa8	/gridpoints/BOI/119,16/stations?limit=3	42
8226c53	/gridpoints/FGZ/55,131/stations?limit=3	39
11401a3d	/stations/ITD04/observations?limit=1	945
1ae047b0	/stations/C8738/observations/latest	185
11404b12	/stations/KGCN/observations?limit=1	226
1140554d	/stations/CMP27/observations/latest	405
11406f66	/stations/MJBN2/observations?limit=1	127
e5a125a	/points/36.077,-111.316	122
e5a8095	/points/36.077,-112.316	22
91a1568	/points/38.077,-113.316	22
11cbbd75	/points/41.077,,-115.316	74
e594a54	/points/41.077,-118.316	22
